 masks images 1_Scab 2_Orange_peal 3_Through_hole 4_Imprint 5_Attrition 6_Rust 7_Scratch 8_Pollution 9_Mechanical_damage 10_Insects 11_Stripe 12_Dross 13_Other 14_Oil 15_Roller_print unique_labels
10 D:\multilable_classification_metal\data\masks\buffer00739_107_5.npy D:\multilable_classification_metal\data\images\buffer00739_107_5.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
11 D:\multilable_classification_metal\data\masks\buffer00739_108_1.npy D:\multilable_classification_metal\data\images\buffer00739_108_1.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
12 D:\multilable_classification_metal\data\masks\buffer00739_109_4.npy D:\multilable_classification_metal\data\images\buffer00739_109_4.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
13 D:\multilable_classification_metal\data\masks\buffer00739_10_2.npy D:\multilable_classification_metal\data\images\buffer00739_10_2.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
14 D:\multilable_classification_metal\data\masks\buffer00739_110_2.npy D:\multilable_classification_metal\data\images\buffer00739_110_2.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
15 D:\multilable_classification_metal\data\masks\buffer00739_110_3.npy D:\multilable_classification_metal\data\images\buffer00739_110_3.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
16 D:\multilable_classification_metal\data\masks\buffer00739_111_2.npy D:\multilable_classification_metal\data\images\buffer00739_111_2.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
17 D:\multilable_classification_metal\data\masks\buffer00739_111_3.npy D:\multilable_classification_metal\data\images\buffer00739_111_3.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
18 D:\multilable_classification_metal\data\masks\buffer00739_111_4.npy D:\multilable_classification_metal\data\images\buffer00739_111_4.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 [14]
19 D:\multilable_classification_metal\data\masks\buffer00739_111_5.npy D:\multilable_classification_metal\data\images\buffer00739_111_5.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 [14]
20 D:\multilable_classification_metal\data\masks\buffer00739_112_1.npy D:\multilable_classification_metal\data\images\buffer00739_112_1.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
21 D:\multilable_classification_metal\data\masks\buffer00739_112_3.npy D:\multilable_classification_metal\data\images\buffer00739_112_3.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
22 D:\multilable_classification_metal\data\masks\buffer00739_113_4.npy D:\multilable_classification_metal\data\images\buffer00739_113_4.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
23 D:\multilable_classification_metal\data\masks\buffer00739_114_4.npy D:\multilable_classification_metal\data\images\buffer00739_114_4.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
24 D:\multilable_classification_metal\data\masks\buffer00739_114_5.npy D:\multilable_classification_metal\data\images\buffer00739_114_5.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
25 D:\multilable_classification_metal\data\masks\buffer00739_115_0.npy D:\multilable_classification_metal\data\images\buffer00739_115_0.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
26 D:\multilable_classification_metal\data\masks\buffer00739_115_1.npy D:\multilable_classification_metal\data\images\buffer00739_115_1.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
27 D:\multilable_classification_metal\data\masks\buffer00739_115_3.npy D:\multilable_classification_metal\data\images\buffer00739_115_3.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 [14]
28 D:\multilable_classification_metal\data\masks\buffer00739_115_4.npy D:\multilable_classification_metal\data\images\buffer00739_115_4.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 [14]
29 D:\multilable_classification_metal\data\masks\buffer00739_115_5.npy D:\multilable_classification_metal\data\images\buffer00739_115_5.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 [14]
30 D:\multilable_classification_metal\data\masks\buffer00739_116_0.npy D:\multilable_classification_metal\data\images\buffer00739_116_0.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
31 D:\multilable_classification_metal\data\masks\buffer00739_117_3.npy D:\multilable_classification_metal\data\images\buffer00739_117_3.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
32 D:\multilable_classification_metal\data\masks\buffer00739_117_4.npy D:\multilable_classification_metal\data\images\buffer00739_117_4.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
33 D:\multilable_classification_metal\data\masks\buffer00739_118_5.npy D:\multilable_classification_metal\data\images\buffer00739_118_5.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
34 D:\multilable_classification_metal\data\masks\buffer00739_119_4.npy D:\multilable_classification_metal\data\images\buffer00739_119_4.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
35 D:\multilable_classification_metal\data\masks\buffer00739_11_2.npy D:\multilable_classification_metal\data\images\buffer00739_11_2.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
36 D:\multilable_classification_metal\data\masks\buffer00739_120_0.npy D:\multilable_classification_metal\data\images\buffer00739_120_0.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
37 D:\multilable_classification_metal\data\masks\buffer00739_121_5.npy D:\multilable_classification_metal\data\images\buffer00739_121_5.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
38 D:\multilable_classification_metal\data\masks\buffer00739_122_3.npy D:\multilable_classification_metal\data\images\buffer00739_122_3.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
39 D:\multilable_classification_metal\data\masks\buffer00739_122_4.npy D:\multilable_classification_metal\data\images\buffer00739_122_4.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
40 D:\multilable_classification_metal\data\masks\buffer00739_123_0.npy D:\multilable_classification_metal\data\images\buffer00739_123_0.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
41 D:\multilable_classification_metal\data\masks\buffer00739_123_1.npy D:\multilable_classification_metal\data\images\buffer00739_123_1.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
42 D:\multilable_classification_metal\data\masks\buffer00739_124_5.npy D:\multilable_classification_metal\data\images\buffer00739_124_5.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
43 D:\multilable_classification_metal\data\masks\buffer00739_125_2.npy D:\multilable_classification_metal\data\images\buffer00739_125_2.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
44 D:\multilable_classification_metal\data\masks\buffer00739_126_1.npy D:\multilable_classification_metal\data\images\buffer00739_126_1.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
45 D:\multilable_classification_metal\data\masks\buffer00739_126_2.npy D:\multilable_classification_metal\data\images\buffer00739_126_2.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
46 D:\multilable_classification_metal\data\masks\buffer00739_127_1.npy D:\multilable_classification_metal\data\images\buffer00739_127_1.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
47 D:\multilable_classification_metal\data\masks\buffer00739_128_3.npy D:\multilable_classification_metal\data\images\buffer00739_128_3.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
48 D:\multilable_classification_metal\data\masks\buffer00739_129_3.npy D:\multilable_classification_metal\data\images\buffer00739_129_3.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
49 D:\multilable_classification_metal\data\masks\buffer00739_12_1.npy D:\multilable_classification_metal\data\images\buffer00739_12_1.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
50 D:\multilable_classification_metal\data\masks\buffer00739_12_2.npy D:\multilable_classification_metal\data\images\buffer00739_12_2.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
51 D:\multilable_classification_metal\data\masks\buffer00739_130_2.npy D:\multilable_classification_metal\data\images\buffer00739_130_2.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
52 D:\multilable_classification_metal\data\masks\buffer00739_130_3.npy D:\multilable_classification_metal\data\images\buffer00739_130_3.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
53 D:\multilable_classification_metal\data\masks\buffer00739_131_1.npy D:\multilable_classification_metal\data\images\buffer00739_131_1.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
54 D:\multilable_classification_metal\data\masks\buffer00739_131_2.npy D:\multilable_classification_metal\data\images\buffer00739_131_2.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
55 D:\multilable_classification_metal\data\masks\buffer00739_131_4.npy D:\multilable_classification_metal\data\images\buffer00739_131_4.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [7]
56 D:\multilable_classification_metal\data\masks\buffer00739_132_0.npy D:\multilable_classification_metal\data\images\buffer00739_132_0.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
57 D:\multilable_classification_metal\data\masks\buffer00739_133_5.npy D:\multilable_classification_metal\data\images\buffer00739_133_5.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
58 D:\multilable_classification_metal\data\masks\buffer00739_134_1.npy D:\multilable_classification_metal\data\images\buffer00739_134_1.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
59 D:\multilable_classification_metal\data\masks\buffer00739_134_4.npy D:\multilable_classification_metal\data\images\buffer00739_134_4.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 [14]
60 D:\multilable_classification_metal\data\masks\buffer00739_134_5.npy D:\multilable_classification_metal\data\images\buffer00739_134_5.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 [14]
61 D:\multilable_classification_metal\data\masks\buffer00739_135_4.npy D:\multilable_classification_metal\data\images\buffer00739_135_4.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
62 D:\multilable_classification_metal\data\masks\buffer00739_135_5.npy D:\multilable_classification_metal\data\images\buffer00739_135_5.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
63 D:\multilable_classification_metal\data\masks\buffer00739_136_5.npy D:\multilable_classification_metal\data\images\buffer00739_136_5.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
64 D:\multilable_classification_metal\data\masks\buffer00739_137_2.npy D:\multilable_classification_metal\data\images\buffer00739_137_2.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
65 D:\multilable_classification_metal\data\masks\buffer00739_137_3.npy D:\multilable_classification_metal\data\images\buffer00739_137_3.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 "[8, 14]"
66 D:\multilable_classification_metal\data\masks\buffer00739_137_4.npy D:\multilable_classification_metal\data\images\buffer00739_137_4.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 [14]
67 D:\multilable_classification_metal\data\masks\buffer00739_137_5.npy D:\multilable_classification_metal\data\images\buffer00739_137_5.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 [14]
68 D:\multilable_classification_metal\data\masks\buffer00739_138_0.npy D:\multilable_classification_metal\data\images\buffer00739_138_0.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
69 D:\multilable_classification_metal\data\masks\buffer00739_138_1.npy D:\multilable_classification_metal\data\images\buffer00739_138_1.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
70 D:\multilable_classification_metal\data\masks\buffer00739_139_0.npy D:\multilable_classification_metal\data\images\buffer00739_139_0.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
71 D:\multilable_classification_metal\data\masks\buffer00739_13_1.npy D:\multilable_classification_metal\data\images\buffer00739_13_1.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
72 D:\multilable_classification_metal\data\masks\buffer00739_140_1.npy D:\multilable_classification_metal\data\images\buffer00739_140_1.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
73 D:\multilable_classification_metal\data\masks\buffer00739_140_2.npy D:\multilable_classification_metal\data\images\buffer00739_140_2.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
74 D:\multilable_classification_metal\data\masks\buffer00739_14_1.npy D:\multilable_classification_metal\data\images\buffer00739_14_1.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
75 D:\multilable_classification_metal\data\masks\buffer00739_15_3.npy D:\multilable_classification_metal\data\images\buffer00739_15_3.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
76 D:\multilable_classification_metal\data\masks\buffer00739_15_4.npy D:\multilable_classification_metal\data\images\buffer00739_15_4.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
77 D:\multilable_classification_metal\data\masks\buffer00739_16_4.npy D:\multilable_classification_metal\data\images\buffer00739_16_4.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
78 D:\multilable_classification_metal\data\masks\buffer00739_17_0.npy D:\multilable_classification_metal\data\images\buffer00739_17_0.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
79 D:\multilable_classification_metal\data\masks\buffer00739_18_0.npy D:\multilable_classification_metal\data\images\buffer00739_18_0.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
80 D:\multilable_classification_metal\data\masks\buffer00739_18_1.npy D:\multilable_classification_metal\data\images\buffer00739_18_1.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
81 D:\multilable_classification_metal\data\masks\buffer00739_19_0.npy D:\multilable_classification_metal\data\images\buffer00739_19_0.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
82 D:\multilable_classification_metal\data\masks\buffer00739_1_2.npy D:\multilable_classification_metal\data\images\buffer00739_1_2.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
83 D:\multilable_classification_metal\data\masks\buffer00739_1_3.npy D:\multilable_classification_metal\data\images\buffer00739_1_3.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 [14]
84 D:\multilable_classification_metal\data\masks\buffer00739_1_4.npy D:\multilable_classification_metal\data\images\buffer00739_1_4.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 [14]
85 D:\multilable_classification_metal\data\masks\buffer00739_1_5.npy D:\multilable_classification_metal\data\images\buffer00739_1_5.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 [14]
86 D:\multilable_classification_metal\data\masks\buffer00739_20_4.npy D:\multilable_classification_metal\data\images\buffer00739_20_4.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 "[8, 14]"
87 D:\multilable_classification_metal\data\masks\buffer00739_20_5.npy D:\multilable_classification_metal\data\images\buffer00739_20_5.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 "[8, 14]"
88 D:\multilable_classification_metal\data\masks\buffer00739_21_3.npy D:\multilable_classification_metal\data\images\buffer00739_21_3.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
89 D:\multilable_classification_metal\data\masks\buffer00739_22_1.npy D:\multilable_classification_metal\data\images\buffer00739_22_1.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
90 D:\multilable_classification_metal\data\masks\buffer00739_22_2.npy D:\multilable_classification_metal\data\images\buffer00739_22_2.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
91 D:\multilable_classification_metal\data\masks\buffer00739_23_4.npy D:\multilable_classification_metal\data\images\buffer00739_23_4.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
92 D:\multilable_classification_metal\data\masks\buffer00739_23_5.npy D:\multilable_classification_metal\data\images\buffer00739_23_5.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
93 D:\multilable_classification_metal\data\masks\buffer00739_24_1.npy D:\multilable_classification_metal\data\images\buffer00739_24_1.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
94 D:\multilable_classification_metal\data\masks\buffer00739_24_4.npy D:\multilable_classification_metal\data\images\buffer00739_24_4.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 [14]
95 D:\multilable_classification_metal\data\masks\buffer00739_24_5.npy D:\multilable_classification_metal\data\images\buffer00739_24_5.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 [14]
96 D:\multilable_classification_metal\data\masks\buffer00739_25_3.npy D:\multilable_classification_metal\data\images\buffer00739_25_3.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
97 D:\multilable_classification_metal\data\masks\buffer00739_26_3.npy D:\multilable_classification_metal\data\images\buffer00739_26_3.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
98 D:\multilable_classification_metal\data\masks\buffer00739_26_4.npy D:\multilable_classification_metal\data\images\buffer00739_26_4.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
99 D:\multilable_classification_metal\data\masks\buffer00739_27_3.npy D:\multilable_classification_metal\data\images\buffer00739_27_3.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
100 D:\multilable_classification_metal\data\masks\buffer00739_28_3.npy D:\multilable_classification_metal\data\images\buffer00739_28_3.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
101 D:\multilable_classification_metal\data\masks\buffer00739_29_2.npy D:\multilable_classification_metal\data\images\buffer00739_29_2.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
102 D:\multilable_classification_metal\data\masks\buffer00739_29_3.npy D:\multilable_classification_metal\data\images\buffer00739_29_3.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
103 D:\multilable_classification_metal\data\masks\buffer00739_2_3.npy D:\multilable_classification_metal\data\images\buffer00739_2_3.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
104 D:\multilable_classification_metal\data\masks\buffer00739_30_0.npy D:\multilable_classification_metal\data\images\buffer00739_30_0.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
105 D:\multilable_classification_metal\data\masks\buffer00739_30_1.npy D:\multilable_classification_metal\data\images\buffer00739_30_1.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
106 D:\multilable_classification_metal\data\masks\buffer00739_31_5.npy D:\multilable_classification_metal\data\images\buffer00739_31_5.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
107 D:\multilable_classification_metal\data\masks\buffer00739_32_0.npy D:\multilable_classification_metal\data\images\buffer00739_32_0.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 [8]
108 D:\multilable_classification_metal\data\masks\buffer00739_32_4.npy D:\multilable_classification_metal\data\images\buffer00739_32_4.png 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [7]
109 D:\multilable_classification_metal\data\masks\buffer00739_32_5.npy D:\multilable_classification_metal\data\images\buffer00739_32_5.png 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 [3]
